Addr_Base10,Data_Base16
490,00000BFE
491,00FFFE02
492,00FFF054
493,00FFFA30
494,00FFED7F
495,00FFFEFB
496,00FFFA68
497,00FFEFF7
498,00FFEF92
499,00000B40
500,000001BD
501,00FFED36
502,000012E7
503,00FFF43D
504,00FFF93E
505,0000092C
506,00000E7B
507,00FFFA74
508,00FFF871
509,00000E45
510,00FFFFAA
511,00FFECD5
512,00000E89
513,000003DB
514,00FFF1A2
515,0000071A
516,00FFF4FC
517,00FFF64B
518,00000DDB
519,00FFEC21
520,00000FA3
521,00FFFC74
522,00FFF1FD
523,00000164
524,00FFFC78
525,00FFF10C
526,00FFF85F
527,00001187
528,00000BCE
529,00FFFABC
530,00FFEE07
531,00000535
532,00FFF7DC
533,00000773
534,0000134D
535,00FFF934
536,00FFF2E8
537,00FFFEA5
538,00001142
539,00000295
540,0000070C
541,00FFEF83
542,00FFFFC2
543,00FFFF7B
544,00000C55
545,00000AAA
546,00FFEEF1
547,00000E3D
548,00FFFCE8
549,00000371
550,00000F48
551,00FFF34A
552,00FFFB58
553,00FFF31E
554,0000123C
555,00FFFAD8
556,00FFF1D4
557,00FFFB8C
558,00000A41
559,00FFFAC6
560,000003E7
561,00000F52
562,00000F80
563,00001323
564,00000DD8
565,000000B6
566,000013AE
567,000001B3
568,00FFF677
569,00000BDF
570,00FFF44E
571,00000214
572,00FFF2AC
573,00FFFC9B
574,00FFEEED
575,000004CE
576,00FFF0F6
577,000001D2
578,00FFF0E2
579,000007AD
580,00000AB3
581,00FFF261
582,00FFEF91
583,0000066A
584,00000C81
585,0000009C
586,00FFFD08
587,00FFEC8F
588,0000040F
589,00FFED38
590,000000A1
591,00000495
592,00000688
593,0000051F
594,000007B9
595,00000EDC
596,00FFF9B5
597,00000C3B
598,00000817
599,00FFFE08
600,00FFF600
601,000013FE
602,00FFF15A
603,00001305
604,00FFFC02
605,00000592
606,00000095
607,00FFF6CC
608,000000F7
609,00FFFF25
610,00FFF6FA
611,00000E13
612,00001017
613,00000AF9
614,00FFF94A
615,00FFF3C9
616,00FFF1E6
617,00FFEDC4
618,00FFFB4B
619,00000C40
620,00FFEF0B
621,00FFF26D
622,00FFEC02
623,000000AF
624,00FFF2D9
625,00000A23
626,00000E95
627,00000594
628,00FFED9D
629,00001100
630,00FFF73D
631,000001F2
632,00001176
633,000009AA
634,0000075A
635,00000399
636,00FFEDDE
637,00FFF2D5
638,00FFF182
639,00FFF29E
640,00FFEFD4
641,00FFED97
642,00000FC0
643,00FFFAD3
644,0000046B
645,00000100
646,00000B51
647,0000033C
648,00FFFC71
649,00FFECFD
650,000008BB
651,00FFF85E
652,000003B2
653,00FFF2F8
654,00000343
655,000000B4
656,000012EE
657,00FFF544
658,00FFFABB
659,00FFFD1B
660,00000061
661,00000BE3
662,00FFEE59
663,00000B13
664,00000608
665,00000BA4
666,000013F1
667,00000D36
668,00000EDB
669,00000ECB
670,00001095
671,00FFF22B
672,00FFF447
673,0000038B
674,00FFF23B
675,00000A4D
676,00000A6E
677,00000FB4
678,00FFFCE6
679,00000D51
680,00FFF2ED
681,00FFFDA9
682,00FFEC46
683,00FFF317
684,000010E3
685,00000BFE
686,00000E15
687,0000137A
688,00FFF334
689,00000D40
690,00FFF0A5
691,00001211
692,00FFF3C9
693,00FFFFD4
694,000007A1
695,00FFF513
696,00FFFDAD
697,00001366
698,000012F6
699,00FFF361
700,00FFEFBB
701,00FFF41F
702,00001352
703,000006C7
704,0000138E
705,00000280
706,000006D0
707,00FFFDE6
708,00FFECFA
709,00001270
710,00000A1D
711,00FFF71A
712,00FFF2D1
713,00000867
714,000001DA
715,00FFFDA2
716,00FFF822
717,00FFF701
718,00FFFE93
719,000007DB
720,00FFF8B4
721,00FFEC4A
722,00FFFC86
723,0000114D
724,000007BE
725,00FFFD9C
726,00000FE4
727,00000E39
728,00FFF4DD
729,00FFEC69
730,00FFFF2C
731,00FFEF3B
732,000002AE
733,00FFFFDD
734,00FFF950
735,00FFFDE6
736,00FFFECD
737,00000BFC
738,0000035A
739,00FFFACC
740,00FFF8F1
741,00FFEC7D
742,00000DA7
743,0000111F
744,00FFED9C
745,00FFF4F8
746,00000126
747,00001151
748,00FFF17A
749,000010ED
750,00FFF2AB
751,00FFF720
752,00FFFF5C
753,00FFF774
754,00000B52
755,00FFF1B3
756,00FFF74D
757,00000392
758,00FFFCAE
759,00000557
760,00000E5D
761,00001011
762,000007F4
763,00FFF068
764,00FFF1F5
765,00FFFB39
766,00FFF386
767,0000110B
768,00000585
769,00FFF4E3
770,0000011D
771,00000872
772,00FFFAA1
773,0000011B
774,00FFF496
775,000013E1
776,000002BD
777,00FFF733
778,00FFF960
779,00FFEE07
780,00000D3A
781,00FFFABA
782,00000708
783,000001E2
784,00FFFB66
785,00FFF2D0
786,00FFFA0F
787,00FFFE96
788,00FFF462
789,00FFFC31
790,00000CB4
791,00FFF7CF
792,000010FB
793,00001334
794,000005A8
795,00FFFE32
796,00FFF68D
797,00000997
798,00000909
799,00FFFBC0
800,00FFF26C
801,000010AB
802,0000027B
803,00FFFEC8
804,0000082D
805,00FFEC84
806,00FFEE75
807,00FFF75D
808,00000731
809,00FFFF8F
810,0000107F
811,000012CB
812,00000897
813,00000443
814,00000ED8
815,00FFFB9E
816,00000593
817,00FFEF2A
818,00000603
819,00000F0F
820,00000EC6
821,00FFF959
822,00FFF134
823,00FFFFCD
824,00FFFDA0
825,00FFED4A
826,00FFFD15
827,000002CB
828,00000897
829,00FFFCA1
830,0000036E
831,00FFF545
832,000005A3
833,00000345
834,000013B6
835,00FFEF9B
836,00FFFFBD
837,00000BCE
838,00FFFA31
839,00FFF581
840,00FFF49E
841,00FFF5D5
842,00000F0D
843,00000DA8
844,00000193
845,00FFF518
846,000011C3
847,00000E09
848,00FFFDDF
849,00FFF071
850,00FFF75A
851,00000978
852,00FFEEB3
853,00000E66
854,00000B88
855,00FFFE8A
856,00FFFFF5
857,0000004F
858,00FFED43
859,00FFFBCE
860,00000FED
861,00FFEC68
862,00000F64
863,0000045B
864,0000002F
865,00FFF9E1
866,00000D10
867,0000006A
868,00FFFB34
869,00000B65
870,00000A1B
871,00000E47
872,00000F27
873,00FFFBBE
874,00FFF2CA
875,00001123
876,00000887
877,0000094A
878,0000004A
879,00000A88
880,000002AE
881,00000A89
882,00001206
883,00FFFA26
884,00FFFAFB
885,00FFFF80
886,00000F8C
887,000011E4
888,00FFF442
889,00FFFF4C
890,00000EB4
891,00FFFDA7
892,00FFF3A9
893,00FFF769
894,00000554
895,00FFEF82
896,00000D54
897,00000AB0
898,00FFF872
899,00FFF4BB
900,00000369
901,00FFF31A
902,00FFF6C5
903,00FFFE9E
904,000007F0
905,00FFF535
906,000011BB
907,00FFF229
908,00FFFC52
909,00FFFA05
910,0000027A
911,00FFEEBA
912,00FFEC76
913,00000C8B
914,00000566
915,00FFFD5E
916,00FFF1E6
917,00001294
918,00FFF031
919,00FFECB5
920,00000593
921,00000EE4
922,00FFF012
923,00000184
924,00FFF319
925,00FFF6E7
926,00FFEFC9
927,00FFF469
928,00FFFAA2
929,0000078A
930,000004C1
931,00000B8D
932,00FFFFAD
933,00FFFBD1
934,00FFFAE4
935,00FFF52E
936,00000AE6
937,00FFEE52
938,00FFF9F1
939,00FFFD15
940,00FFF80C
941,00000339
942,00FFEE16
943,00FFFFFE
944,00000E80
945,0000061B
946,00000725
947,00001297
948,00FFF4F5
949,00FFF5F8
950,000000CA
951,00FFF006
952,0000108F
953,000010A6
954,00000BF5
955,00001299
956,00000A93
957,00FFF549
958,00FFF318
959,00000955
960,00FFFD47
961,00FFF7B5
962,00FFEFF4
963,00FFF8D8
964,00FFF692
965,00FFF45B
966,0000069E
967,0000083F
